noun,dates,values,,unkn,dates,values,,intj,dates,values,,prcl,dates,values,,conj,dates,values,,prep,dates,values
,2014,22.42,,,2014,8.49,,,2014,1.66,,,2014,8.88,,,2014,9.16,,,2014,7.97
,2015,26.7,,,2015,4.0,,,2015,1.43,,,2015,8.45,,,2015,8.53,,,2015,8.31
,2016,22.88,,,2016,5.12,,,2016,1.57,,,2016,9.21,,,2016,9.4,,,2016,9.13
,2017,20.2,,,2017,3.95,,,2017,1.38,,,2017,10.16,,,2017,10.73,,,2017,7.93
,2018,22.64,,,2018,4.26,,,2018,1.24,,,2018,9.16,,,2018,10.34,,,2018,8.2
,2019,23.11,,,2019,4.66,,,2019,1.19,,,2019,8.31,,,2019,10.1,,,2019,9.77
,2020,26.08,,,2020,8.54,,,2020,0.91,,,2020,6.86,,,2020,8.67,,,2020,8.97
,2021,26.09,,,2021,8.42,,,2021,0.93,,,2021,7.16,,,2021,09.04,,,2021,09.02
,,,,,,,,,,,,,,,,,,,,,,
pred,dates,values,,npro,dates,values,,advb,dates,values,,numr,dates,values,,grnd,dates,values,,prts,dates,values
,2014,1.24,,,2014,10.24,,,2014,6.65,,,2014,0.19,,,2014,0.34,,,2014,0.17
,2015,1.25,,,2015,9.48,,,2015,6.94,,,2015,0.22,,,2015,0.28,,,2015,0.17
,2016,1.31,,,2016,9.8,,,2016,7.58,,,2016,0.2,,,2016,0.23,,,2016,0.15
,2017,1.46,,,2017,10.65,,,2017,8.45,,,2017,0.17,,,2017,0.21,,,2017,0.15
,2018,1.17,,,2018,9.77,,,2018,8.25,,,2018,0.16,,,2018,0.26,,,2018,0.17
,2019,1.17,,,2019,8.23,,,2019,8.34,,,2019,0.22,,,2019,0.19,,,2019,0.21
,2020,0.99,,,2020,6.38,,,2020,7.92,,,2020,0.22,,,2020,0.18,,,2020,1.54
,2021,01.06,,,2021,6.26,,,2021,7.21,,,2021,0.24,,,2021,0.19,,,2021,01.06
,,,,,,,,,,,,,,,,,,,,,,
prtf,dates,values,,verb,dates,values,,adj,dates,values,,,,,,,,,,,,
,2014,0.09,,,2014,15.64,,,2014,6.86,,,,,,,,,,,,
,2015,0.11,,,2015,16.85,,,2015,7.28,,,,,,,,,,,,
,2016,0.1,,,2016,15.43,,,2016,7.89,,,,,,,,,,,,
,2017,0.13,,,2017,16.33,,,2017,8.11,,,,,,,,,,,,
,2018,0.22,,,2018,15.73,,,2018,8.43,,,,,,,,,,,,
,2019,0.2,,,2019,15.13,,,2019,9.17,,,,,,,,,,,,
,2020,0.18,,,2020,14.22,,,2020,8.33,,,,,,,,,,,,
,2021,0.22,,,2021,14.6,,,2021,8.49,,,,,,,,,,,,